stop_label,longitude,latitude
0,-73.972038,40.752495
1,-73.994087,40.734188
2,-74.007034,40.706413
3,-73.990547,40.755829
4,-74.005157,40.734131
5,-73.981071,40.740711
6,-73.978546,40.763447
7,-73.996407,40.719814
8,-74.003250,40.750031
9,-73.989265,40.741871
10,-73.986076,40.728043
11,-73.980202,40.753193
12,-74.007431,40.728149
13,-74.014053,40.715797
14,-73.971863,40.762833
15,-73.991440,40.749783
16,-74.002350,40.759308
17,-73.996811,40.725040
18,-73.998329,40.743061
19,-73.986946,40.764500
20,-73.977310,40.734615
21,-74.004677,40.741768
22,-73.996521,40.712818
23,-73.984741,40.745049
24,-73.972870,40.756329
25,-73.998474,40.734627
26,-74.012848,40.703594
27,-73.986168,40.721687
28,-74.002518,40.721981
29,-73.985413,40.754406
30,-73.974335,40.748329
31,-73.989525,40.701298
32,-74.008743,40.712311
33,-73.989227,40.716816
34,-74.001411,40.729397
35,-73.984566,40.732731
36,-73.983063,40.760136
37,-73.975449,40.742180
38,-73.992256,40.726505
39,-73.976929,40.752167
40,-74.010170,40.720711
41,-73.993370,40.744888
42,-73.980225,40.727524
43,-74.007240,40.739410
44,-74.006325,40.717361
45,-73.983879,40.749382
46,-73.977028,40.759399
47,-73.989624,40.759743
48,-73.990410,40.731140
49,-73.988640,40.748322
50,-73.985558,40.739910
51,-73.989525,40.736237
52,-74.006920,40.745831
53,-74.014977,40.709141
54,-73.996269,40.755451
55,-73.980003,40.746017
56,-74.001839,40.739044
57,-73.994522,40.750778
58,-73.994347,40.740200
59,-73.996651,40.761852
